Id,Label,d3,d2,d1,d0,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Filter,X,Y,Size,Color
5QjWgYDeKNP2iPHTdTttnG,5QjWgYDeKNP2iPHTdTttnG,candy pop,43,301533,Stacie Orrico,0,0,0,0,1,,166.523804,1076.46814,10,"#4c463e"
4SQxI8xg6LcSWL3KuGVHLa,4SQxI8xg6LcSWL3KuGVHLa,"idol, neo mellow, talent show",38,320217,David Cook,0,0,0,0,2,,309.280945,766.656677,10,"#d3b3b0"
0AuZVHIr5WSEBbBLZwWwWc,0AuZVHIr5WSEBbBLZwWwWc,,42,186794,Charice,0,0,0,0,1,,6.220452,894.068298,10,"#4c463e"
2XMxHczWkSzDDFhiC3zt8k,2XMxHczWkSzDDFhiC3zt8k,lilith,33,71828,Marié Digby,0,0,0,0,1,,78.423569,1280.571899,10,"#4c463e"
2zwHaEmXxX6DTv4i8ajNCM,2zwHaEmXxX6DTv4i8ajNCM,"idol, neo mellow, viral pop",37,160007,Kris Allen,0,0,0,0,2,,220.447495,838.150452,10,"#d3b3b0"
6UKa8gyuwzx5arpY8kf9XK,6UKa8gyuwzx5arpY8kf9XK,idol,15,9982,Kimberley Locke,0,0,0,0,2,,74.282356,986.623718,10,"#d3b3b0"
2Q1FIPavG8WZF33kqIP3sy,2Q1FIPavG8WZF33kqIP3sy,idol,17,23350,Bo Bice,0,0,0,0,2,,-67.745369,969.274963,10,"#d3b3b0"
5rScKX1Sh1U67meeUyTGwk,5rScKX1Sh1U67meeUyTGwk,"candy pop, lilith, neo mellow, pop rock",54,649680,Michelle Branch,0,0,0,0,1,,183.452881,960.562683,10,"#4c463e"
5ILrArfIV0tMURcHJN8Q07,5ILrArfIV0tMURcHJN8Q07,"lilith, neo mellow, piano rock, pop rock, post-teen pop",60,622667,Vanessa Carlton,0,0,0,0,1,,-291.474823,1183.687988,10,"#4c463e"
59eUYRRUA8EnmFBgR5kl33,59eUYRRUA8EnmFBgR5kl33,idol,10,7963,Diana DeGarmo,20,0.092459,0.164728,7123,2,,96.073555,685.978516,65.045776,"#d3b3b0"
3cF0O4sFTZJvwJQh7ZRP1R,3cF0O4sFTZJvwJQh7ZRP1R,,3,167,Matte O’Brien,0,0,0,0,2,,-14.536823,355.396179,10,"#d3b3b0"
5nx28ULD2nOGcaZi4FDr0T,5nx28ULD2nOGcaZi4FDr0T,idol,0,123,Vanessa Olivarez,0,0,0,0,2,,116.68087,857.445129,10,"#d3b3b0"
1PdFyOb4D6kRZfhrTUJqE9,1PdFyOb4D6kRZfhrTUJqE9,idol,0,1268,Jessica Sierra,0,0,0,0,2,,37.840328,775.802795,10,"#d3b3b0"
0SDWRoniMX4v6PxKqAuNac,0SDWRoniMX4v6PxKqAuNac,"candy pop, idol",4,7485,Kimberly Caldwell,0,0,0,0,2,,354.690002,568.993469,10,"#d3b3b0"
3lmeQnSYHi5KoLctIwMQXv,3lmeQnSYHi5KoLctIwMQXv,idol,0,1603,LaKisha Jones,0,0,0,0,2,,228.764526,545.787048,10,"#d3b3b0"
61jIKcC4zJhSBT2hcBGT9V,61jIKcC4zJhSBT2hcBGT9V,idol,2,843,Jim Verraros,0,0,0,0,2,,377.94986,677.688049,10,"#d3b3b0"
5wLx8YI3SMZkR3YO7lTN3b,5wLx8YI3SMZkR3YO7lTN3b,idol,0,539,Stephanie Edwards,0,0,0,0,2,,7.221333,561.658325,10,"#d3b3b0"
48E5csclQ92SrzSRQmEeC4,48E5csclQ92SrzSRQmEeC4,idol,19,24249,Allison Iraheta,0,0,0,0,2,,204.815475,437.183807,10,"#d3b3b0"
1H3vdMEhZiuSttQjKaRQMj,1H3vdMEhZiuSttQjKaRQMj,idol,5,2028,Tamyra Gray,0,0,0,0,2,,-194.252045,979.847839,10,"#d3b3b0"
1yb4zX0BZ7Ohe0lDcULddT,1yb4zX0BZ7Ohe0lDcULddT,idol,5,4061,Ace Young,0,0,0,0,2,,-73.244179,795.212036,10,"#d3b3b0"
1w4hqZZs281QMTBuACPxL6,1w4hqZZs281QMTBuACPxL6,idol,1,362,Carly Hennessy,0,0,0,0,2,,94.420158,467.545929,10,"#d3b3b0"
